Film,Ceremony,Award,Year
A Different Man,Sydney Film Festival,Official Selection,2024
A Different Man,Melbourne International Film Festival,Official Selection,2024
A Different Man,Valladolid International Film Festival,Official Selection,2024
A Different Man,Deauville Film Festival,Official Selection,2024
A Different Man,Thessaloniki Film Festival,Official Selection,2024
A Different Man,Helsinki International Film Festival - Love & Anarchy,Official Selection,2024
A Different Man,Viennale,Official Selection,2024
A Different Man,Tromsø International Film Festival,Official Selection,2025
A Different Man,Sitges - Catalonian International Film Festival,Winner: Best Screenplay,2024
A Different Man,Gotham Awards,Winner: Best Feature,2024
A Different Man,Gotham Awards,Nominee: Outstanding Supporting Performance,2024
A Different Man,Calgary International Film Festival,Official Selection,2024
A Different Man,Critics Choice Awards,Nominee: Best Hair and Make-Up,2025
A Different Man,New Directors New Films,Official Selection,2024
A Different Man,Mumbai Film Festival,Official Selection,2024
A Different Man,New Horizons International Film Festival,Official Selection,2024
A Different Man,New Zealand International Film Festival,Official Selection,2024
A Different Man,Leiden International Film Festival,Official Selection,2024
The Six Triple Eight,Academy Awards,Nominee: Best Original Song,2025
The Six Triple Eight,Women Film Critics Circle Awards,Winner: Josephine Baker Award,2024
The Six Triple Eight,Women Film Critics Circle Awards,Nominee: Karen Morley Award,2024
The Six Triple Eight,Women Film Critics Circle Awards,Nominee: Best Equality of the Sexes,2024
The Six Triple Eight,Black Reel Awards,Nominee: Outstanding Lead Performance,2025
The Six Triple Eight,Black Reel Awards,Nominee: Outstanding Original Song,2025
The Six Triple Eight,Capri Hollywood International Film Festival,Winner: Best Original Song,2024
Elton John: Never Too Late,Academy Awards,Nominee: Best Original Song,2025
Elton John: Never Too Late,Toronto International Film Festival,Official Selection,2024
Elton John: Never Too Late,BFI London Film Festival,Official Selection,2024
Elton John: Never Too Late,New York Film Festival,Official Selection,2024
Nickel Boys,Academy Awards,Nominee: Best Adapted Screenplay,2025
Nickel Boys,Academy Awards,Nominee: Best Picture,2025
Nickel Boys,Independent Spirit Awards,Nominee: Best Feature,2025
Nickel Boys,Independent Spirit Awards,Nominee: Best Cinematography,2025
Nickel Boys,Telluride Film Festival,Official Selection,2024
Nickel Boys,Indiewire Critics' Poll,3rd place: Best Film,2024
Nickel Boys,Indiewire Critics' Poll,2nd place: Best Director,2024
Nickel Boys,Indiewire Critics' Poll,Winner: Best Cinematography,2024
Nickel Boys,Indiewire Critics' Poll,Nominee: Best Screenplay,2024
Nickel Boys,BFI London Film Festival,Official Selection,2024
Nickel Boys,American Film Institute Awards,Winner: Movie of the Year,2024
Nickel Boys,BAFTA Awards,Nominee: Best Screenplay (Adapted),2025
Nickel Boys,New York Film Festival,Official Selection,2024
Nickel Boys,Directors Guild of America,Winner: Michael Apted Award for Outstanding Directorial Achievement in First-Time Theatrical Feature Film,2025
Nickel Boys,Golden Globes (USA),Nominee: Best Motion Picture - Drama,2025
Nickel Boys,New York Film Critics Circle Awards,Winner: Best Director,2024
Nickel Boys,New York Film Critics Circle Awards,Winner: Best Cinematography,2024
Nickel Boys,Los Angeles Film Critics Association Awards,Winner: Best Cinematography,2024
Nickel Boys,Los Angeles Film Critics Association Awards,Winner: Best Editing,2024
Nickel Boys,AFI Fest,Official Selection,2024
Nickel Boys,Chicago International Film Festival,Official Selection,2024
Nickel Boys,Stockholm International Film Festival,Official Selection,2024
Nickel Boys,San Francisco Bay Area Film Critics Circle,Nominee: Best Director,2025
Nickel Boys,San Francisco Bay Area Film Critics Circle,Nominee: Best Adapted Screenplay,2025
Nickel Boys,San Francisco Bay Area Film Critics Circle,Nominee: Best Cinematography,2025
Nickel Boys,San Francisco Bay Area Film Critics Circle,Nominee: Best Film,2025
Nickel Boys,London Critics Circle Film Awards,Nominee: Film of the Year,2025
Nickel Boys,London Critics Circle Film Awards,Winner: Director of the Year,2025
Nickel Boys,London Critics Circle Film Awards,Winner: Technical Achievement Award - Cinematography,2025
Nickel Boys,Toronto Film Critics Association Awards,Winner: Best Picture,2024
Nickel Boys,Toronto Film Critics Association Awards,Winner: Best Director,2024
Nickel Boys,Toronto Film Critics Association Awards,Winner: Best Adapted Screenplay,2024
Nickel Boys,National Society of Film Critics Awards,2nd place: Best Director,2025
Nickel Boys,National Society of Film Critics Awards,2nd place: Best Supporting Actress,2025
Nickel Boys,National Society of Film Critics Awards,Winner: Best Cinematography,2025
Nickel Boys,National Society of Film Critics Awards,Winner: Best Picture,2025
Nickel Boys,Chicago Film Critics Association Awards,Winner: Best Adapted Screenplay,2024
Nickel Boys,Chicago Film Critics Association Awards,Winner: Best Cinematography,2024
Nickel Boys,Chicago Film Critics Association Awards,Nominee: Best Editing,2024
Nickel Boys,Chicago Film Critics Association Awards,Winner: Milos Stehlik Award for Breakthrough Filmmaker,2024
Nickel Boys,Chicago Film Critics Association Awards,Nominee: Best Picture,2024
Nickel Boys,Chicago Film Critics Association Awards,Winner: Best Director,2024
Nickel Boys,Boston Society of Film Critics Awards,Winner: Best Adapted Screenplay,2024
Nickel Boys,New York Film Critics,Winner: Best Director,2024
Nickel Boys,New York Film Critics,Winner: Best Cinematography,2024
Nickel Boys,Austin Film Critics Association,Nominee: Best Cinematography,2025
Nickel Boys,Austin Film Critics Association,Winner: [6] AFCA Top 10 Films,2025
Nickel Boys,Austin Film Critics Association,Nominee: Best Picture,2025
Nickel Boys,Austin Film Critics Association,Nominee: Best Adapted Screenplay,2025
Nickel Boys,Belfast Film Festival,Official Selection,2024
Nickel Boys,Philadelphia Film Festival,Official Selection,2024
Nickel Boys,Seattle Film Critics Awards,Winner: Best Cinematography,2025
Nickel Boys,Tromsø International Film Festival,Official Selection,2025
Nickel Boys,Gotham Awards,Nominee: Best Feature,2024
Nickel Boys,Gotham Awards,Winner: Best Director,2024
Nickel Boys,Gotham Awards,Winner: Breakthrough Performer,2024
Nickel Boys,Palm Springs International Film Festival,Official Selection,2025
Nickel Boys,Critics Choice Awards,Nominee: Best Supporting Actress,2025
Nickel Boys,Critics Choice Awards,Nominee: Best Adapted Screenplay,2025
Nickel Boys,Critics Choice Awards,Nominee: Best Cinematography,2025
Nickel Boys,Critics Choice Awards,Nominee: Best Picture,2025
Nickel Boys,Critics Choice Awards,Nominee: Best Director,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Cinematography,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Ensemble,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Film,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Hairstyling & Makeup,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Emerging Director,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Director,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Production Design,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Breakthrough Performance,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Supporting Performance,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Breakthrough Performance,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Supporting Performance,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding First Screenplay,2025
Nickel Boys,Black Reel Awards,Nominee: Outstanding Screenplay,2025
Nickel Boys,Austin Film Festival,Official Selection,2024
Nickel Boys,Indie Memphis,Official Selection,2024
Nickel Boys,Capri Hollywood International Film Festival,Official Selection,2024
Nickel Boys,Alice nella Città,Official Selection,2024
Nickel Boys,SCAD Savannah Film Festival,Official Selection,2024
Nickel Boys,Hamptons International Film Festival,Official Selection,2024
Nickel Boys,Leeds International Film Festival,Official Selection,2024
A Lien,Academy Awards,Nominee: Best Live Action Short,2025
A Lien,Vancouver International Film Festival,Official Selection,2023
A Lien,Seattle International Film Festival,Official Selection,2023
A Lien,Brooklyn Film Festival,Official Selection,2024
A Lien,Austin Film Festival,Official Selection,2023
Anuja,Academy Awards,Nominee: Best Live Action Short,2025
Anuja,Montclair Film Festival,Official Selection,2024
Anuja,Hollyshorts Film Festival,Official Selection,2024
Anuja,deadCenter Film Festival,Official Selection,2024
I'm Not a Robot,Academy Awards,Nominee: Best Live Action Short,2025
I'm Not a Robot,Moscow International Film Festival,Official Selection,2024
I'm Not a Robot,Hawaii International Film Festival,Official Selection,2024
I'm Not a Robot,Fantasia Film Festival,Official Selection,2024
I'm Not a Robot,Sitges - Catalonian International Film Festival,Winner:  Best Short Film in the Official Fantàstic Selection,2023
I'm Not a Robot,Nordic International Film Festival,Official Selection,2024
I'm Not a Robot,Palm Springs International ShortFest,Official Selection,2024
I'm Not a Robot,FEST - New Directors / New Films,Official Selection,2024
I'm Not a Robot,Hollyshorts Film Festival,Official Selection,2024
I'm Not a Robot,Fantaspoa International Fantastic Film Festival,Official Selection,2024
I'm Not a Robot,Internationale Kurzfilmtage Winterthur,Official Selection,2023
I'm Not a Robot,Nederlands Film Festival,Official Selection,2024
I'm Not a Robot,FilmQuest,Official Selection,2024
The Last Ranger,Academy Awards,Nominee: Best Live Action Short,2025
The Last Ranger,Cleveland International Film Festival,2nd place: Audience Choice Award for Best Overall Short,2024
The Last Ranger,Cleveland International Film Festival,Winner: The Clover & Maggie Award,2024
The Last Ranger,San Diego International Film Festival,Official Selection,2024
The Last Ranger,BlackStar Film Festival,Official Selection,2024
The Last Ranger,Pan African Film Festival,Official Selection,2024
The Last Ranger,Hollyshorts Film Festival,Official Selection,2024
The Last Ranger,Pittsburg Shorts,Official Selection,2024
The Man Who Could Not Remain Silent,Cannes Film Festival,Winner: Palme d'Or: Short Film,2024
The Man Who Could Not Remain Silent,Academy Awards,Nominee: Best Live Action Short,2025
The Man Who Could Not Remain Silent,Toronto International Film Festival,Official Selection,2024
The Man Who Could Not Remain Silent,Rome Independent Film Festival,Official Selection,2024
The Man Who Could Not Remain Silent,European Film Awards,Winner: European Short Film,2024
The Man Who Could Not Remain Silent,Stockholm International Film Festival,Official Selection,2024
The Man Who Could Not Remain Silent,Festival du Nouveau Cinéma,Official Selection,2024
The Man Who Could Not Remain Silent,Melbourne International Film Festival,Official Selection,2024
The Man Who Could Not Remain Silent,Tallinn Black Nights Film Festival,Official Selection,2024
The Man Who Could Not Remain Silent,Sarajevo Film Festival,Official Selection,2024
The Man Who Could Not Remain Silent,Festival Internacional de Curtas Metragens de São Paulo,Official Selection,2024
The Man Who Could Not Remain Silent,Clermont-Ferrand International Short Film Festival,Official Selection,2025
The Man Who Could Not Remain Silent,Curtas Vila do Conde International Film Festival,Official Selection,2024
The Man Who Could Not Remain Silent,Cottbus Festival of East European Cinema,Official Selection,2024
The Man Who Could Not Remain Silent,Internationale Kurzfilmtage Winterthur,Official Selection,2024
The Man Who Could Not Remain Silent,Leeds International Film Festival,Official Selection,2024
The Man Who Could Not Remain Silent,Rome Independent Cinema Festival,Official Selection,2024
The Man Who Could Not Remain Silent,El Gouna Film Festival,Official Selection,2024
Alien: Romulus,Academy Awards,Nominee: Best Visual Effects,2025
Alien: Romulus,Golden Globes (USA),Nominee: Cinematic and Box Office Achievement,2025
Alien: Romulus,Edinburgh International Film Festival,Official Selection,2024
Better Man,Academy Awards,Nominee: Best Visual Effects,2025
Better Man,Toronto International Film Festival,Official Selection,2024
Better Man,Telluride Film Festival,Official Selection,2024
Better Man,BAFTA Awards,Nominee: Best Achievement in Special Visual Effects,2025
Better Man,Golden Globes (USA),Nominee: Best Original Song - Motion Picture,2025
Better Man,Chicago International Film Festival,Official Selection,2024
Better Man,Mill Valley Film Festival,Official Selection,2024
Better Man,Austin Film Critics Association,Nominee: Best Voice Acting/Animated/Digital Performance,2025
Better Man,Philadelphia Film Festival,Official Selection,2024
Better Man,Palm Springs International Film Festival,Official Selection,2025
Better Man,Critics Choice Awards,Nominee: Best Visual Effects,2025
Better Man,Haifa International Film Festival,Official Selection,2024
Better Man,Red Sea International Film Festival,Official Selection,2024
Kingdom of the Planet of the Apes,Academy Awards,Nominee: Best Visual Effects,2025
Kingdom of the Planet of the Apes,BAFTA Awards,Nominee: Best Achievement in Special Visual Effects,2025
Kingdom of the Planet of the Apes,Austin Film Critics Association,Nominee: Best Voice Acting/Animated/Digital Performance,2025
Kingdom of the Planet of the Apes,Seattle Film Critics Awards,Nominee: Best Action Choreography,2025
Kingdom of the Planet of the Apes,Seattle Film Critics Awards,Nominee: Best Visual Effects,2025
Kingdom of the Planet of the Apes,Critics Choice Awards,Nominee: Best Visual Effects,2025
September 5,Venice Film Festival,Official Selection: Orizzonti Extra,2024
September 5,Academy Awards,Nominee: Best Original Screenplay,2025
September 5,Independent Spirit Awards,Nominee: Best Editing,2025
September 5,International Film Festival Rotterdam,Official Selection,2025
September 5,Telluride Film Festival,Official Selection,2024
September 5,Golden Globes (USA),Nominee: Best Motion Picture - Drama,2025
September 5,Los Angeles Film Critics Association Awards,2nd place: Best Editing,2024
September 5,AFI Fest,Official Selection,2024
September 5,Chicago International Film Festival,Official Selection,2024
September 5,San Francisco Bay Area Film Critics Circle,Nominee: Best Editing,2025
September 5,Göteborg Film Festival,Official Selection,2025
September 5,Austin Film Critics Association,Nominee: Best Editing,2025
September 5,Tallinn Black Nights Film Festival,Official Selection,2024
September 5,Philadelphia Film Festival,Official Selection: Opening Night FIlm,2024
September 5,Zurich Film Festival,Official Selection,2024
September 5,Rio de Janeiro International Film Festival,Official Selection,2024
September 5,Palm Springs International Film Festival,Official Selection,2025
September 5,Critics Choice Awards,Nominee: Best Original Screenplay,2025
September 5,Critics Choice Awards,Nominee: Best Editing,2025
September 5,Austin Film Festival,Official Selection,2024
September 5,San Diego International Film Festival,Official Selection,2024
September 5,Haifa International Film Festival,Official Selection,2024
September 5,SCAD Savannah Film Festival,Official Selection,2024
September 5,Hamptons International Film Festival,Official Selection,2024
September 5,Newport Beach Film Festival,Official Selection,2024
